name,category
甲硝哒唑 甲硝唑（无菌即用）,生化试剂
骨组织抗原修复试剂盒,生化试剂
荧光抗淬灭封片剂（甘油磷酸盐缓冲液）,生化试剂
磺胺嘧啶钠（即用型无菌溶液）,生化试剂
硫酸新霉素（无内毒素，即用）,生化试剂
硫酸多粘菌素B（无菌即用）,生化试剂
两性霉素B（无菌即用）,生化试剂
Laked Horse Blood,生化试剂
VCN选择性添加剂,生化试剂
Trace Element Solution SL-7,生化试剂
庆大霉素（即用型无菌溶液）,生化试剂
万古霉素盐酸盐（无菌即用）,生化试剂
安普霉素（即用型无菌溶液）,生化试剂
Zeocin (无菌无内毒素),生化试剂
1% Rosolic Acid,生化试剂
SFP Selective Supplement,生化试剂
Catarrhalis Selective Supplement,生化试剂
Natural Sea Water,生化试剂
Mycoplasma Supplement,生化试剂
放线菌酮（无菌即用）,生化试剂
D-环丝氨酸,生化试剂
植物生长素IAA,生化试剂
植物生长素IBA,生化试剂
细胞分裂素6-BAP,生化试剂
甲氧苄啶（无菌即用）,生化试剂
Modified Karmali Selective Supplement,生化试剂
VCAT选择性添加剂,生化试剂
CBI Supplement,生化试剂
Tinsdale Supplement,生化试剂
嘌呤霉素（无内毒素，即用）,生化试剂
Legionella GVPN Selective Supplement,生化试剂
Park and Sanders Selective Supplement I,生化试剂
新生霉素钠（无菌即用）,生化试剂
m-CP selective Supplement II,生化试剂
盐酸吖啶黄（无菌溶液）,生化试剂
Dermato supplement,生化试剂
Fraser Selective Supplement,生化试剂
CFC selective supplement,生化试剂
Bifido Selective Supplement A,生化试剂
Bifido Selective Supplement B,生化试剂
苯唑西林钠（即用型无菌溶液）,生化试剂
硫酸粘杆菌素（无菌溶液）,生化试剂
杀稻瘟菌素S（无内毒素，即用）,生化试剂
红霉素（无菌溶液）,生化试剂
氨曲南（无菌即用）,生化试剂
弱酸快速脱钙液,生化试剂
EDTA脱钙液，慢脱钙液，温和脱钙液,生化试剂
Aeromonas Selective Supplement,生化试剂
氨苄青霉素溶液,生化试剂
ACV Supplement,生化试剂
卡那霉素（即用型无菌溶液）,生化试剂
Sigma DMSO无菌细胞培养级,生化试剂
金霉素（即用型无菌溶液）,生化试剂
磺胺甲恶唑（无菌即用）,生化试剂
2% TC Yeastolate Solution,生化试剂
Yersinia Selective Supplement,生化试剂
Campy Thio supplement,生化试剂
DNA标准品,生化试剂
ESBL Agar Supplement,生化试剂
Streptococcus Selective Supplement (COBA,生化试剂
Antibiotic Mixture for Borrelia,生化试剂
5% Liver Desiccate,生化试剂
Middlebrook OADC Growth Supplement,生化试剂
遗传霉素硫酸盐（去内毒素，即用）,生化试剂
植物生长素BNOA,生化试剂
"植物生长素2,4-D",生化试剂
细胞分裂素4-CPPU,生化试剂
细胞分裂素2iP,生化试剂
头孢噻呋钠（无菌即用）,生化试剂
Campylobacter Selective Supplement (Karm,生化试剂
VCNT选择性添加剂,生化试剂
PALCAM Listeria Selective Supplement,生化试剂
GN Spore Anaerobic Supplement,生化试剂
不含半胱氨酸的军团菌BCYE添加剂,生化试剂
Rakay-Ray选择性添加剂,生化试剂
Park and Sanders Selective Supplement II,生化试剂
Legionella Selective Supplement IV,生化试剂
Listeria UVM II Supplement,生化试剂
十六烷基三甲基溴化铵（无菌溶液）,生化试剂
Candida Selective Supplement,生化试剂
屎肠球菌选择性添加剂,生化试剂
博来霉素（无内毒素，即用）,生化试剂
CCDA Selective Supplement,生化试剂
硫酸黏菌素（即用型无菌溶液）,生化试剂
利福平(即用型无菌溶液),生化试剂
博来霉素（无内毒素，即用）,生化试剂
潮霉素B（无内毒素溶液）,生化试剂
红霉素（无菌，即用）,生化试剂
HE染色试剂盒，苏木素染色液，伊红染色液,生化试剂
枸橼酸抗原修复液（10x）,生化试剂
"PBS Buffer (50X,Premixed Powder)",生化试剂
Fresh Yeast Extract,生化试剂
2% 萘啶酸溶液（无菌即用）,生化试剂
Staph/Strep Selective Supplement,生化试剂
Invitek粪便保存管含DNA保存液1038111200,生化试剂
弯曲杆菌选择性添加剂（Skirrow）,生化试剂
pcDNA3.1-EGFP,生化试剂
氯霉素（即用型无菌溶液）,生化试剂
制霉菌素（无菌即用）,生化试剂
四环素（即用型无菌溶液）,生化试剂
壮观霉素（无菌即用）,生化试剂
15% Autolyzed Yeast Extract Solution,生化试剂
1% Potassium Tellurite,生化试剂
头孢噻吩钠（无菌即用）,生化试剂
Diamond's Vitamin Mixture(107),生化试剂
Defibrinated Rabbit Blood,生化试剂
Middlebrook ADC Growth Supplement,生化试剂
头孢哌酮钠（无菌即用）,生化试剂
"植物生长素2,4,5-T",生化试剂
植物生长素NAA,生化试剂
细胞分裂素TDZ,生化试剂
细胞分裂素Kinetin,生化试剂
头孢氨苄（无菌即用溶液）,生化试剂
SPS Selective Supplement,生化试剂
C-T Supplement,生化试剂
BLEB Selective Supplement,生化试剂
Linco T Supplement,生化试剂
Legionella GVPC Selective Supplement,生化试剂
亮绿+新生霉素选择性添加剂,生化试剂
MKTTn Novobiocin Supplement,生化试剂
Legionella Selective Supplement,生化试剂
梭链孢酸钠(无菌溶液）,生化试剂
Anthracis Selective Supplement,生化试剂
Gruft Mycobacterial Supplement,生化试剂
Cetrinix Supplement,生化试剂
Bolton Selective Supplement,生化试剂
Mycoplasma enrichment supplement,生化试剂
头孢唑林钠（即用型无菌溶液）,生化试剂
多西环素（无内毒素）,生化试剂
杀稻瘟菌素S（无内毒素溶液）,生化试剂
潮霉素B(无内毒素，即用),培养基
EMEM培养基,培养基
Nitsch&Nitsch Medium(1969),培养基
MEM培养基Gibco 11140050,培养基
L-Glutamine (200 mM)培养基Gibco 25030081,培养基
Express Enzyme (1X)培养基Gibco 12604013,培养基
II SFM培养基Gibco 10902088,培养基
PBS培养基Gibco 20012027,培养基
HBSS培养基Gibco 14175095,培养基
DPBS(10X)培养基Gibco 14200075,培养基
Advanced RPMI 1640培养基Gibco 12633012,培养基
Advanced DMEM培养基Gibco 12491015,培养基
McCoy's 5A (Modified)培养基Gibco 1660008,培养基
Ham's F-12K (Kaighn's)培养基Gibco 211270,培养基
RPMI 1640培养基Gibco 61870036,培养基
MEM α培养基Gibco 32571036,培养基
Lipofectamine 3000传染试剂Invitrogen L30,培养基
DMEM/F-12培养基Gibco 11330032,培养基
RPMI 1640培养基Gibco 22400089,培养基
MEM培养基Gibco 10370021,培养基
MEM培养基Gibco 41061029,培养基
MEM α培养基Gibco 32561037,培养基
DMEM培养基Gibco 10564011,培养基
DMEM培养基Gibco 11885084,培养基
DMEM培养基Gibco 10313021,培养基
DMEM培养基Gibco 10567014,培养基
Banana Rooting Medium,培养基
KSOM Medium,培养基
IMDM培养基ATCC 30-2005,培养基
Gibco新西兰胎牛血清10091148,培养基
马血清(HyClone SH30074.03),培养基
Gibco澳洲胎牛血清10099141,培养基
DMEM培养基ATCC 30-2002,培养基
ATCC ES专用胎牛血清,培养基
Gibco胎牛血清,培养基
Nitsch & Nitsch Vitamins,培养基
Schenk-Hildebrandt Vitamin Solution,培养基
Schenk & Hildebrandt Medium,培养基
BI北美新生牛血清04-102-1A,培养基
Gemini北美胎牛血清900-108,培养基
Gibco外泌体清除胎牛血清A2720801,培养基
Gemini胎牛血清,培养基
Gemini透析型胎牛血清100-108,培养基
Gemini昆虫细胞专用胎牛血清100-135,培养基
Gemini狗血清100-160,培养基
Gemini猫血清100-153,培养基
Gemini大鼠血清100-150,培养基
Gemini四环素阴性胎牛血清100-800,培养基
Gemini新生牛血清100-504,培养基
Gemini胎牛血清100-700,培养基
Gemini豚鼠血清100-130,培养基
Corning胎牛血清,培养基
Corning北美胎牛血清35-015-CV,培养基
Corning（USDA认证区域）热灭活胎牛血清35-,培养基
Corning北美四环素专用胎牛血清35-075-CV,培养基
Gibco澳洲胎牛血清热灭活10100147,培养基
PAN绵羊血清P30-4102,培养基
PAN小鼠血清P30-0201,培养基
PAN猪血清P30-0902,培养基
PAN供体马血清P30-0702,培养基
BI北美兔血清04-008-1A,培养基
PAN射线处理胎牛血清P30-2002,培养基
PAN（EU认证）脱脂处理胎牛血清P30-3402,培养基
PAN澳洲胚胎干细胞专用胎牛血清P30-2606,培养基
PAN北美胎牛血清P40-48500,培养基
PAN（EU认证）特级胎牛血清P40-47500,培养基
PAN特级胎牛血清P30-3702,培养基
PAN南美胎牛血清P30-3302,培养基
PAN南美胎牛血清P30-3306,培养基
Sigma澳洲胎牛血清F9423,培养基
BI北美山羊血清04-009-1A,培养基
BI北美供体马血清04-004-1A,培养基
BI北美热灭活新生牛血清04-122-1A,培养基
BI北美胚胎干细胞专用胎牛血清04-002-1A-US,培养基
BI南美热灭活胎牛血清04-127-1A,培养基
Gibco新西兰胚胎干细胞专用胎牛血清1614107,培养基
BI南美胎牛血清04-007-1A,培养基
Gibco北美热灭活胎牛血清16140071,培养基
Sigma新西兰新生牛血清12023C,培养基
Sigma澳洲小牛血清13063C,培养基
Bovogen澳洲牛血清（新西兰）SABS-1.0,培养基
HyClone射线处理供体马血清SH30074.03IR,培养基
Bovogen阿根廷胎牛血清SFBS-A,培养基
Bovogen丹麦胎牛血清SFBS-D,培养基
Sigma北美热灭活马血清H1138,培养基
Sigma北美猪血清12736C,培养基
Sigma北美猪血清P9783,培养基
Sigma北美铁离子强化型小牛血清（美国）121,培养基
Sigma北美补铁型小牛血清（美国）12238C,培养基
HyClone热灭活新西兰补铁新生牛血清SH30626,培养基
HyClone热灭活新西兰新生牛血清SH30401.01H,培养基
HyClone新生牛血清SH30118.03,培养基
HyClone补铁型小牛血清SH30072.03,培养基
HyClone小牛血清SH30073.03,培养基
Gibco新西兰山羊血清16210072,培养基
Gibco新西兰羔羊血清16070096,培养基
Gibco新西兰热灭活新生牛血清26010074,培养基
HyClone射线处理新西兰加强型新生牛血清SH3,培养基
HyClone射线处理加强型小牛血清SH30087.03I,培养基
HyClone射线处理促生长型小牛血清SH30541.0,培养基
HyClone供体成年牛血清SH30075.03,培养基
HyClone FetalClone III 血清SH30109.03,培养基
HyClone FetalClone II 血清SH30066.03,培养基
HyClone热灭活FetalClone I 血清SH30080.03,培养基
Sigma胎牛血清（USDA认证）F0926,培养基
GibcoUSDA热灭活胎牛血清10438026,培养基
Gibco美国间充质干细胞专用胎牛血清1266202,培养基
Gibco北美透析型胎牛血清26400044,培养基
Sigma北美胎牛血清（美国）F6178,培养基
Sigma北美胎牛血清（美国）12103C,培养基
Sigma澳洲胎牛血清12003C,培养基
