"aid","id","en_name","cn_name","iso2","iso3","create_on","create_by","update_on","update_by","batch_id","remark"
"1","1481143958594387968","Abkhazian","阿布哈兹语","ab","abk","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"2","1481143958594387969","Afar","阿法尔语","aa","aar","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"3","1481143958594387970","Afrikaans","南非荷兰语","af","afr","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"4","1481143958594387971","Akan","阿坎语","ak","aka","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"5","1481143958594387972","Albanian","阿尔巴尼亚语","sq","alb","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"6","1481143958594387973","Amharic","阿姆哈拉语","am","amh","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"7","1481143958594387974","Arabic","阿拉伯语 ","ar","ara","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"8","1481143958594387975","Aragonese","阿拉贡语","an","arg","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"9","1481143958594387976","Armenian","亚美尼亚语","hy","arm","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"10","1481143958594387977","Assamese","阿萨姆语","as","asm","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"11","1481143958594387978","Avaric","阿瓦尔语","av","ava","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"12","1481143958594387979","Avestan","阿维斯陀语","ae","ave","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"13","1481143958594387980","Aymara","阿维斯陀语","ay","aym","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"14","1481143958594387981","Azerbaijani","阿塞拜疆语 ","az","aze","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"15","1481143958594387982","Bambara","班巴拉语","bm","bam","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"16","1481143958594387983","Bashkir","巴什基尔语","ba","bak","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"17","1481143958594387984","Basque","巴斯克语","eu","baq","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"18","1481143958594387985","Belarusian","白俄罗斯语","be","bel","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"19","1481143958594387986","Bengali","孟加拉语 ","bn","ben","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"20","1481143958594387987","Bihari languages","比哈尔语","bh","bih","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"21","1481143958594387988","Bislama","比斯拉马语","bi","bis","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"22","1481143958594387989","Bosnian","波斯尼亚语","bs","bos","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"23","1481143958594387990","Breton","布列塔尼语","br","bre","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"24","1481143958594387991","Bulgarian","保加利亚语","bg","bul","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"25","1481143958594387992","Burmese","缅甸语","my","bur","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"26","1481143958594387993","Catalan; Valencian","加泰罗尼亚语","ca","cat","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"27","1481143958594387994","Central Khmer","高棉语","km","khm","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"28","1481143958594387995","Chamorro","查莫罗语","ch","cha","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"29","1481143958594387997","Chichewa; Chewa; Nyanja","齐切瓦语","ny","nya","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"30","1481143958594387998","Chinese","中文 ","zh","chi","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"31","1481143958594387999","Church Slavic; Slavonic;","古教会斯拉夫语","cu","chu","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"32","1481143958594388001","Chuvash","楚瓦什语","cv","chv","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"33","1481143958594388002","Cornish","康沃尔语","kw","cor","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"34","1481143958594388003","Corsican","科西嘉语","co","cos","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"35","1481143958594388004","Cree","克里语","cr","cre","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"36","1481143958594388005","Croatian","克罗地亚语","hr","hrv","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"37","1481143958594388006","Czech","捷克语","cs","cze","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"38","1481143958594388007","Danish","丹麦语","da","dan","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
"39","1481143958594388008","Divehi; Dhivehi; Maldivian","迪维希语","dv","div","12/1/2022 14:00:18","zhangjin","12/1/2022 14:00:18","zhangjin","1481143976919302144","第一次导入"
