"aid","id","full_name","abbr_name","language_id","en_full_name","en_abbr_name","country_id","parent_id","level","create_on","create_by","update_on","update_by","batch_id","remark"
"1","1484071223766548480","北京市","北京","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"2","1484071223766548481","天津市","天津","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"3","1484071223766548482","河北省","河北","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"4","1484071223766548483","山西省","山西","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"5","1484071223766548484","内蒙古自治区","内蒙古","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"6","1484071223766548485","辽宁省","辽宁","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"7","1484071223766548486","吉林省","吉林","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"8","1484071223766548487","黑龙江省","黑龙江","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"9","1484071223766548488","上海市","上海","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
"10","1484071223766548489","江苏省","江苏","1481143958594387998",,,"1478602830603489281","0","0","20/1/2022 15:52:09","zhangjin","26/1/2022 10:20:03","zhangjin","1484071235309273088","第一次导入"
