name,category
pG-Host9,光宿主载体
pBT-2,光宿主载体
pCS2+8,光宿主载体
pMHE3Tc,光宿主载体
pMHE7,光宿主载体
pMHE2,光宿主载体
pBMTB-4,光宿主载体
pBTL-5,光宿主载体
pBTL-1,光宿主载体
pBTB-2,光宿主载体
pBMT-4,光宿主载体
pBT-4,光宿主载体
pCS2+,光宿主载体
pCS107,光宿主载体
pBBR1MCS-3,光宿主载体
pME6032,光宿主载体
pBT-1,光宿主载体
pCS2+8CeGFP,光宿主载体
pSPORT2,光宿主载体
pMHE6,光宿主载体
pBBR1MCS-6,光宿主载体
pBMTB-3,光宿主载体
pBTL-4,光宿主载体
pBTB-5,光宿主载体
pBTB-1,光宿主载体
pBMT-3,光宿主载体
pBT-3,光宿主载体
pCS2-,光宿主载体
pBBR1MCS,光宿主载体
pBBR1MCS-2,光宿主载体
pJB866,光宿主载体
pBBR1MCS2-Tac-mCherry,光宿主载体
pCS2+8CmCherry,光宿主载体
pMHE5Tc,光宿主载体
pMHE5,光宿主载体
pBBR1-GFP,光宿主载体
pBMTB-2,光宿主载体
pBTL-3,光宿主载体
pBTB-4,光宿主载体
pBT-5,光宿主载体
pBMT-2,光宿主载体
pCS2+MT,光宿主载体
pCS111,光宿主载体
pBBR1MCS-5,光宿主载体
pRK415,光宿主载体
pMMB207,光宿主载体
pCSDest,光宿主载体
pMHE7Tc,光宿主载体
pMHE3,光宿主载体
pBMTB-5,光宿主载体
pBMTB-1,光宿主载体
pBTL-2,光宿主载体
pBTB-3,光宿主载体
pBMT-5,光宿主载体
pBMT-1,光宿主载体
pCS22+,光宿主载体
pCS108,光宿主载体
pBBR1MCS-4,光宿主载体
pEGFP,大肠杆菌载体
pMK4,大肠杆菌载体
pKD3,大肠杆菌载体
pProEX HTa,大肠杆菌载体
pUC57-Kan,大肠杆菌载体
pEGM-11ZF(+),大肠杆菌载体
psiRNA-hH1neo G2,大肠杆菌载体
pET28a-TagRFP-N,大肠杆菌载体
pET28a- TEV,大肠杆菌载体
pBAD-HisA,大肠杆菌载体
pSNAP-Tag(T7)2,大肠杆菌载体
pUC57-Tac-mCherry,大肠杆菌载体
pCold-MBP,大肠杆菌载体
pET28b-TEV-6×His,大肠杆菌载体
pGEX-20T,大肠杆菌载体
pK19mobsacB,大肠杆菌载体
pBAD/His/LacZ,大肠杆菌载体
pETBlue-1,大肠杆菌载体
pYADE4,大肠杆菌载体
pET28a-RhoA,大肠杆菌载体
pBV222,大肠杆菌载体
pED-DsbA-pp-air,大肠杆菌载体
pET-DsbA,大肠杆菌载体
pMBP-P,大肠杆菌载体
pET-35b(+),大肠杆菌载体
pET-41b(+),大肠杆菌载体
LYD11,大肠杆菌载体
pHS24,大肠杆菌载体
pCP2-4-10,大肠杆菌载体
pCR2.1-TOPO vector+82-2-1,大肠杆菌载体
Escherichia coli pMG-CAhydA,大肠杆菌载体
pNDH10,大肠杆菌载体
pCRN-2,大肠杆菌载体
pCR8-33,大肠杆菌载体
pCR4-35,大肠杆菌载体
pCRSj-21,大肠杆菌载体
pRSET A/M,大肠杆菌载体
pCRII-TOPO/23-11,大肠杆菌载体
yT&A/18109-6,大肠杆菌载体
SARS Frag. 14 pCRII-TOPO,大肠杆菌载体
SARS Frag. 10 pCRII-TOPO,大肠杆菌载体
pCRII-TOPO/-3-5,大肠杆菌载体
SARS Frag. 4 pCRII-TOPO,大肠杆菌载体
pMHC1-150/Glu7,大肠杆菌载体
pMTD1.3xA,大肠杆菌载体
pMH3/3097,大肠杆菌载体
VumD1,大肠杆菌载体
pSP103,大肠杆菌载体
pIJ702-36Y,大肠杆菌载体
pSL597,大肠杆菌载体
pSL775,大肠杆菌载体
pM23,大肠杆菌载体
pP53-208,大肠杆菌载体
pXIS11,大肠杆菌载体
pSM1,大肠杆菌载体
pLY4,大肠杆菌载体
pIF413,大肠杆菌载体
pJHAM004,大肠杆菌载体
CAM,大肠杆菌载体
RM33,大肠杆菌载体
pRL1,大肠杆菌载体
pRAUW122,大肠杆菌载体
pMUTIN-YFP,大肠杆菌载体
